06-09 00:45:46: Training starting...
06-09 00:45:49: New best reward 301.8 (-100.0%) at episode 0, saving model...
06-09 00:45:51: New best reward 331.5 (+9.8%) at episode 1, saving model...
06-09 00:46:06: New best reward 341.4 (+3.0%) at episode 10, saving model...
06-09 00:46:51: New best reward 371.1 (+8.7%) at episode 36, saving model...
06-09 00:47:16: New best reward 381.0 (+2.7%) at episode 51, saving model...
06-09 00:47:40: New best reward 480.0 (+26.0%) at episode 65, saving model...
06-09 01:15:58: New best reward 490.0 (+2.1%) at episode 1059, saving model...
06-09 01:16:04: New best reward 1300.0 (+165.3%) at episode 1061, saving model...
06-09 01:50:20: New best reward 1620.0 (+24.6%) at episode 2160, saving model...
06-09 01:52:02: New best reward 1790.0 (+10.5%) at episode 2205, saving model...
06-09 01:55:46: New best reward 1800.0 (+0.6%) at episode 2305, saving model...
06-09 02:00:09: New best reward 2020.0 (+12.2%) at episode 2425, saving model...
06-09 02:32:34: New best reward 2350.0 (+16.3%) at episode 3348, saving model...
06-09 03:05:29: New best reward 26.9 (+41.6%) at episode 11822, saving model...
06-09 04:28:55: New best reward 31.9 (+18.6%) at episode 14137, saving model...
06-09 04:37:13: New best reward 37.5 (+17.6%) at episode 6824, saving model...
06-09 05:12:14: New best reward 40.9 (+9.1%) at episode 7596, saving model...
06-09 05:55:01: New best reward 32.0 (+0.3%) at episode 16300, saving model...
06-09 06:56:27: New best reward 2740.0 (+16.6%) at episode 10404, saving model...
06-09 07:23:57: New best reward 41.1 (+0.5%) at episode 10246, saving model...
06-09 07:50:14: New best reward 36.4 (+13.8%) at episode 19158, saving model...
06-09 07:53:02: New best reward 45.9 (+11.7%) at episode 10769, saving model...
06-09 08:01:36: New best reward 54.9 (+19.6%) at episode 10923, saving model...
06-09 10:01:50: New best reward 82.9 (+51.0%) at episode 13126, saving model...
